lon (deg E),lat (deg N)
-99.804,28.785
-97.269,28.847
-82.153,27.918
-102.514,30.894
-99.913,31.022
-97.305,31.087
-94.695,31.087
-92.087,31.022
-89.486,30.894
-86.895,30.701
-84.319,30.445
-81.762,30.126
-110.652,32.345
-108.022,32.674
-105.372,32.939
-102.706,33.138
-100.028,33.271
-97.344,33.338
-94.656,33.338
-91.972,33.271
-89.294,33.138
-86.628,32.939
-83.978,32.674
-81.348,32.345
-116.418,33.693
-113.770,34.164
-111.090,34.570
-108.384,34.910
-105.656,35.184
-102.910,35.390
-100.151,35.527
-97.384,35.596
-94.616,35.596
-91.849,35.527
-89.090,35.390
-86.344,35.184
-83.616,34.910
-80.910,34.570
-78.230,34.164
-119.724,35.343
-117.037,35.894
-114.313,36.380
-111.555,36.800
-108.768,37.151
-105.957,37.433
-103.126,37.646
-100.281,37.788
-97.428,37.859
-94.572,37.859
-91.719,37.788
-88.874,37.646
-86.043,37.433
-83.232,37.151
-80.445,36.800
-77.687,36.380
-120.457,37.526
-117.695,38.095
-114.891,38.597
-112.050,39.030
-109.177,39.392
-106.277,39.683
-103.356,39.903
-100.420,40.049
-97.474,40.123
-94.526,40.123
-91.580,40.049
-88.644,39.903
-85.723,39.683
-82.823,39.392
-79.950,39.030
-77.109,38.597
-121.237,39.707
-118.394,40.293
-115.505,40.810
-112.576,41.256
-109.612,41.630
-106.619,41.931
-103.602,42.157
-100.568,42.308
-97.524,42.384
-94.476,42.384
-91.432,42.308
-88.398,42.157
-85.381,41.931
-79.424,41.256
-76.495,40.810
-122.066,41.880
-119.138,42.484
-116.161,43.017
-113.138,43.477
-110.077,43.862
-106.984,44.172
-103.864,44.405
-100.726,44.561
-97.577,44.639
-94.423,44.639
-91.274,44.561
-88.136,44.405
-85.016,44.172
-75.839,43.017
-72.862,42.484
-122.950,44.042
-119.933,44.664
-116.861,45.213
-113.739,45.687
-110.575,46.084
-107.374,46.403
-104.145,46.644
-100.896,46.804
-97.633,46.885
-94.367,46.885
-91.104,46.804
-87.855,46.644
-84.626,46.403
-72.067,44.664
-120.782,46.830
-117.610,47.395
-114.383,47.883
-111.109,48.292
-107.794,48.620
-104.447,48.868
-68.106,46.189
-121.693,48.977
